user_id,video_name,grade,funny
d02,02.avi,0,False
d02,iPP5f2RU.mp4,5,True
d02,19.avi,2,True
d02,FHKR50Nr.mp4,3,True
d02,05.avi,7,True
d02,25.avi,8,True
d02,30.avi,5,True
d02,17.avi,4,True
d02,SQJYfdeO.mp4,4,True
d02,mCELTxF_.mp4,6,True
d02,EJ1BSqBp.mp4,2,False
d02,BtL+JEO2.mp4,4,True
d02,AObwG1H9.mp4,6,True
d02,23.avi,5,True
d02,48Vg8sUG.mp4,6,True
d02,R+OjAe40.mp4,7,True
d02,urqjff5E.mp4,4,True
d02,Tbvdm7kN.mp4,3,True
d02,07.avi,4,True
d02,33.avi,5,True
d02,06.avi,5,True
d02,S9C28Bsr.mp4,6,True
d02,m9Ro5MbX.mp4,2,False
d02,iW9isRmH.mp4,4,True
d02,03.avi,0,False
d02,22.avi,2,True
d02,35.avi,0,False
d02,09.avi,3,True
d02,UQK7mPhQ.mp4,9,False
d02,10.avi,3,True
d02,21.avi,1,False
d02,12.avi,1,False
d02,27.avi,3,True
d02,tC6DNx32.mp4,5,True
d02,wf5sJUdO.mp4,3,True
