user_id,video_name,grade,funny
d01,03.avi,5,False
d01,30.avi,8,True
d01,10.avi,7,True
d01,22.avi,5,True
d01,iW9isRmH.mp4,5,False
d01,48Vg8sUG.mp4,6,True
d01,UQK7mPhQ.mp4,6,True
d01,12.avi,4,False
d01,35.avi,2,False
d01,09.avi,3,False
d01,AObwG1H9.mp4,3,False
d01,25.avi,5,True
d01,EJ1BSqBp.mp4,4,False
d01,17.avi,6,True
d01,mCELTxF_.mp4,5,True
d01,SQJYfdeO.mp4,5,True
d01,urqjff5E.mp4,7,True
d01,27.avi,1,False
d01,21.avi,1,False
d01,06.avi,6,True
d01,33.avi,6,True
d01,m9Ro5MbX.mp4,5,True
d01,BtL+JEO2.mp4,4,False
d01,02.avi,0,False
d01,07.avi,6,False
d01,05.avi,7,True
d01,S9C28Bsr.mp4,8,True
d01,FHKR50Nr.mp4,6,False
d01,Tbvdm7kN.mp4,6,False
d01,19.avi,3,False
d01,wf5sJUdO.mp4,3,False
d01,iPP5f2RU.mp4,5,True
d01,tC6DNx32.mp4,6,True
d01,23.avi,2,False
d01,R+OjAe40.mp4,6,False
