user_id,video_name,grade,funny
e07,mCELTxF_.mp4,2,True
e07,SQJYfdeO.mp4,5,True
e07,EJ1BSqBp.mp4,6,True
e07,03.avi,0,False
e07,R+OjAe40.mp4,3,False
e07,27.avi,8,True
e07,iW9isRmH.mp4,5,True
e07,wf5sJUdO.mp4,0,False
e07,urqjff5E.mp4,3,True
e07,30.avi,5,True
e07,UQK7mPhQ.mp4,0,False
e07,10.avi,7,True
e07,35.avi,0,False
e07,05.avi,3,True
e07,17.avi,6,True
e07,FHKR50Nr.mp4,0,False
e07,02.avi,0,False
e07,BtL+JEO2.mp4,3,True
e07,21.avi,0,False
e07,19.avi,1,False
e07,06.avi,2,True
e07,Tbvdm7kN.mp4,0,False
e07,09.avi,2,True
e07,iPP5f2RU.mp4,7,True
e07,23.avi,2,True
e07,33.avi,4,True
e07,12.avi,0,False
e07,22.avi,6,True
e07,AObwG1H9.mp4,8,True
e07,48Vg8sUG.mp4,0,False
e07,07.avi,2,True
e07,S9C28Bsr.mp4,0,False
e07,m9Ro5MbX.mp4,3,True
e07,tC6DNx32.mp4,8,True
e07,25.avi,0,False
