user_id,video_name,grade,funny
e09,03.avi,0,False
e09,tC6DNx32.mp4,5,True
e09,m9Ro5MbX.mp4,0,False
e09,02.avi,0,False
e09,S9C28Bsr.mp4,1,False
e09,mCELTxF_.mp4,3,False
e09,27.avi,9,True
e09,22.avi,10,True
e09,10.avi,0,False
e09,SQJYfdeO.mp4,8,True
e09,05.avi,8,True
e09,12.avi,1,False
e09,21.avi,5,True
e09,48Vg8sUG.mp4,5,True
e09,FHKR50Nr.mp4,0,False
e09,UQK7mPhQ.mp4,0,False
e09,07.avi,0,False
e09,06.avi,0,False
e09,iW9isRmH.mp4,0,False
e09,19.avi,1,False
e09,30.avi,7,True
e09,33.avi,8,True
e09,iPP5f2RU.mp4,0,False
e09,25.avi,8,True
e09,BtL+JEO2.mp4,0,False
e09,urqjff5E.mp4,0,False
e09,AObwG1H9.mp4,5,True
e09,wf5sJUdO.mp4,0,False
e09,Tbvdm7kN.mp4,5,True
e09,35.avi,1,False
e09,09.avi,0,False
e09,EJ1BSqBp.mp4,0,False
e09,23.avi,0,False
e09,17.avi,6,True
e09,R+OjAe40.mp4,0,False
